Country,CO2_Emissions,Urbanization_Percentage,GDP_Per_Capita_Number,Population_Number
Malaysia,226.8 million Mt  (2017 est.),76.0,29100.0,31809660
Maldives,1.648 million Mt  (2017 est.),39.8,19200.0,392473
Mali,3.388 million Mt  (2017 est.),42.4,2200.0,18429893
Malta,8.141 million Mt  (2017 est.),94.6,41900.0,449043
Marshall Islands,"293,700 Mt  (2017 est.)",77.0,3600.0,75684
Mauritania,2.615 million Mt  (2017 est.),53.7,4500.0,3840429
Mauritius,6.429 million Mt  (2017 est.),40.8,22300.0,1364283
Mexico,454.1 million Mt  (2017 est.),80.2,19900.0,125959205
"Micronesia, Federated States of",105 Mt  (2010 est.),22.7,3400.0,103643
Moldova,7.653 million Mt  (2017 est.),42.6,6700.0,3437720
Mongolia,19.86 million Mt  (2017 est.),68.4,13000.0,3103428
Montenegro,2.287 million Mt  (2017 est.),66.8,17800.0,614249
Montserrat,"57,180 Mt  (2017 est.)",9.1,34000.0,5315
Morocco,55.4 million Mt  (2017 est.),62.5,8600.0,34314130
Mozambique,11.12 million Mt  (2017 est.),36.0,1300.0,27233789
Namibia,3.958 million Mt  (2017 est.),50.0,11200.0,2533224
Nauru,"76,540 Mt  (2017 est.)",100.0,12300.0,9692
Nepal,8.396 million Mt  (2017 est.),19.7,2700.0,29717587
Netherlands,250.2 million Mt  (2017 est.),91.5,53900.0,17151228
New Caledonia,6.165 million Mt  (2017 est.),70.7,31100.0,282754
New Zealand,37.75 million Mt  (2017 est.),86.5,39000.0,4545627
Nicaragua,5.405 million Mt  (2017 est.),58.5,5900.0,6085213
Niger,2.534 million Mt  (2017 est.),16.4,1200.0,19866231
Nigeria,104 million Mt  (2017 est.),50.3,5900.0,203452505
Niue,"7,252 Mt  (2017 est.)",44.8,5800.0,1618
Norway,39.8 million Mt  (2017 est.),82.2,72100.0,5372191
Oman,68.94 million Mt  (2017 est.),84.5,46000.0,3494116
Pakistan,179.5 million Mt  (2017 est.),36.7,5400.0,207862518
Panama,26.08 million Mt  (2017 est.),67.7,25400.0,3800644
Papua New Guinea,6.082 million Mt  (2017 est.),13.2,3700.0,7027332
Paraguay,7.74 million Mt  (2017 est.),61.6,12800.0,7025763
Peru,55.94 million Mt  (2017 est.),77.9,13500.0,31331228
